,2016-09-25-2017-09-30,2017-10-01-2018-06-30,2017-10-01-2018-09-29,2018-04-01-2018-06-30,2018-09-30-2018-12-29,2018-09-30-2019-03-30,2018-09-30-2019-06-29,2018-09-30-2019-09-28,2018-12-30-2019-03-30,2019-03-31-2019-06-29,2019-09-29-2019-12-28,2019-09-29-2020-03-28,2019-09-29-2020-06-27,2019-09-29-2020-09-26,2019-12-29-2020-03-28,2020-03-29-2020-06-27,2020-09-27-2020-12-26,2020-09-27-2021-03-27,2020-09-27-2021-06-26,2020-12-27-2021-03-27,2021-03-28-2021-06-26
RevenueFromContractWithCustomerExcludingAssessedTax,229234000000,202695000000,265595000000,53265000000,84310000000,142325000000,196134000000,260174000000,58015000000,53809000000,91819000000,150132000000,209817000000,274515000000,58313000000,59685000000,111439000000,201023000000,282457000000,89584000000,81434000000
CostOfGoodsAndServicesSold,141048000000,124940000000,163756000000,32844000000,52279000000,88473000000,122055000000,161782000000,36194000000,33582000000,56602000000,92545000000,129550000000,169559000000,35943000000,37005000000,67111000000,118616000000,164795000000,51505000000,46179000000
GrossProfit,88186000000,77755000000,101839000000,20421000000,32031000000,53852000000,74079000000,98392000000,21821000000,20227000000,35217000000,57587000000,80267000000,104956000000,22370000000,22680000000,44328000000,82407000000,117662000000,38079000000,35255000000
ResearchAndDevelopmentExpense,11581000000,10486000000,14236000000,3701000000,3902000000,7850000000,12107000000,16217000000,3948000000,4257000000,4451000000,9016000000,13774000000,18752000000,4565000000,4758000000,5163000000,10425000000,16142000000,5262000000,5717000000
SellingGeneralAndAdministrativeExpense,15261000000,12489000000,16705000000,4108000000,4783000000,9241000000,13667000000,18245000000,4458000000,4426000000,5197000000,10149000000,14980000000,19916000000,4952000000,4831000000,5631000000,10945000000,16357000000,5314000000,5412000000
OperatingExpenses,26842000000,22975000000,30941000000,7809000000,8685000000,17091000000,25774000000,34462000000,8406000000,8683000000,9648000000,19165000000,28754000000,38668000000,9517000000,9589000000,10794000000,21370000000,32499000000,10576000000,11129000000
OperatingIncomeLoss,61344000000,54780000000,70898000000,12612000000,23346000000,36761000000,48305000000,63930000000,13415000000,11544000000,25569000000,38422000000,51513000000,66288000000,12853000000,13091000000,33534000000,61037000000,85163000000,27503000000,24126000000
NonoperatingIncomeExpense,2745000000,1702000000,2005000000,672000000,560000000,938000000,1305000000,1807000000,378000000,367000000,349000000,631000000,677000000,803000000,282000000,46000000,45000000,553000000,796000000,508000000,243000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,64089000000,56482000000,72903000000,13284000000,23906000000,37699000000,49610000000,65737000000,13793000000,11911000000,25918000000,39053000000,52190000000,67091000000,13135000000,13137000000,33579000000,61590000000,85959000000,28011000000,24369000000
IncomeTaxExpenseBenefit,15738000000,11076000000,13372000000,1765000000,3941000000,6173000000,8040000000,10481000000,2232000000,1867000000,3682000000,5568000000,7452000000,9680000000,1886000000,1884000000,4824000000,9205000000,11830000000,4381000000,2625000000
NetIncomeLoss,48351000000,45406000000,59531000000,11519000000,19965000000,31526000000,41570000000,55256000000,11561000000,10044000000,22236000000,33485000000,44738000000,57411000000,11249000000,11253000000,28755000000,52385000000,74129000000,23630000000,21744000000
EarningsPerShareBasic,9.27,9.07,12.01,2.36,4.22,6.70,8.92,11.97,2.47,2.20,5.04,7.63,10.25,3.31,2.58,2.61,1.70,3.11,4.42,1.41,1.31
EarningsPerShareDiluted,9.21,8.99,11.91,2.34,4.18,6.66,8.86,11.89,2.46,2.18,4.99,7.56,10.16,3.28,2.55,2.58,1.68,3.08,4.38,1.40,1.30
WeightedAverageNumberOfSharesOutstandingBasic,5217242000,5006640000,4955377000,4882167000,4735820000,4704945000,4660175000,4617834000,4674071000,4570633000,4415040000,4387570000,4362571000,17352119000,4360101000,4312573000,16935119000,16844298000,16772656000,16753476000,16629371000
WeightedAverageNumberOfDilutedSharesOutstanding,5251692000,5050963000,5000109000,4926609000,4773252000,4736949000,4691759000,4648913000,4700646000,4601380000,4454604000,4429648000,4404695000,17528214000,4404691000,4354788000,17113688000,17021423000,16941527000,16929157000,16781735000
